date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jan 7, 2019 1:55:32 PM PST",11035924951,Refund,112-4158513-3315461,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,NEW YORK,NY,10022-7809,,-29.99,0,0,0,0,0,0,0,0,3.6,0.00,0.00,0.00,-26.39
"Jan 7, 2019 2:21:49 PM PST",11035924951,Order,114-5744477-9757837,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,WEYMOUTH,MA,02190-1840,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 7, 2019 3:32:10 PM PST",11035924951,Order,111-3052574-7576236,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,UNION CITY,CA,94587-3815,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 7, 2019 8:49:15 PM PST",11035924951,Order,112-4798348-9467426,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,St Helens,Oregon,97051,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 7, 2019 9:16:22 PM PST",11035924951,Order,111-9388847-9501005,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,CAMERON,NC,28326-6385,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 7, 2019 9:46:30 PM PST",11035924951,Order,111-8785300-5115411,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,BELLEVUE,WA,98006-3055,MarketplaceFacilitator,29.99,3,0,0,0,0,0,0,-3,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 12:05:53 AM PST",11035924951,Order,114-3549178-4342614,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,DALHART,TEXAS,79022-5213,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 1:06:59 AM PST",11035924951,Refund,112-5881025-8840245,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,Nashville,TN,37214-1732,,-29.99,0,0,0,0,0,0,0,0,3.6,0.00,0.00,0.00,-26.39
"Jan 8, 2019 3:43:39 AM PST",11035924951,Order,113-5409218-1822609,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,SANTA ANA,CA,92705-1323,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 5:10:31 AM PST",11035924951,FBA Inventory Fee,,,FBA Inventory Storage Fee,,Amazon.com,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,-275.82,-275.82
"Jan 8, 2019 12:08:30 PM PST",11035924951,Order,114-5272277-3517058,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,NEW YORK,NY,10065-5024,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 12:33:25 PM PST",11035924951,Order,112-9804088-4817831,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,PITTSBURGH,PA,15206-3997,MarketplaceFacilitator,29.99,1.8,0,0,0,0,0,0,-1.8,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 1:31:47 PM PST",11035924951,Order,112-1917668-8872214,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MESA,AZ,85212-5217,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 1:32:22 PM PST",11035924951,Order,114-9349928-3565026,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,LAFAYETTE,IN,47909-9179,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 3:26:02 PM PST",11035924951,Order,114-8192231-9917031,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,WASHINGTON,DC,20003-2493,,29.99,0,0,0,0,0,0,0,0,-9,-5.09,0.00,0.00,15.90
"Jan 8, 2019 3:26:02 PM PST",11035924951,Order,114-8192231-9917031,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,WASHINGTON,DC,20003-2493,,29.99,0,0,0,0,0,0,0,0,0,-5.09,0.00,0.00,24.90
"Jan 8, 2019 3:26:34 PM PST",11035924951,Order,111-6129253-1936245,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,CENTEREACH,NY,11720-4207,,29.99,0,5.99,0,0,0,-5.99,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 5:35:39 PM PST",11035924951,Order,111-4268071-7481827,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,OXFORD,MS,38655-5976,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 5:40:59 PM PST",11035924951,Order,113-8895171-6064203,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",5,amazon.com,,Amazon,BOSTON,MA,02108-3916,,149.95,0,0,0,0,0,0,0,0,-31.5,-25.45,0.00,0.00,93.00
"Jan 8, 2019 5:40:59 PM PST",11035924951,Order,113-8895171-6064203,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",2,amazon.com,,Amazon,BOSTON,MA,02108-3916,,59.98,0,0,0,0,0,0,0,0,0,-10.18,0.00,0.00,49.80
"Jan 8, 2019 6:00:27 PM PST",11035924951,Order,114-8322844-8638646,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",2,amazon.com,,Amazon,DALLAS,TX,75208,,59.98,0,0,0,0,0,0,0,0,-9,-10.18,0.00,0.00,40.80
"Jan 8, 2019 7:40:06 PM PST",11035924951,Order,114-5437734-9849050,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Cork Board for Wall, Pastel Tones - 15 Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,SAN FRANCISCO,CA,94117-3523,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
"Jan 8, 2019 9:01:58 PM PST",11035924951,Order,111-6858648-6793061,9R-ECZ3-5OOB,"Hexagon Pad Cork Board/Pin Board, Cool Blue - 24"" x 18"" (6"" x 6"" each-15 Pack)",1,amazon.com,,Amazon,MOUNTAIN VIEW,CA,94040-1148,,29.99,0,0,0,0,0,0,0,0,-4.5,-5.09,0.00,0.00,20.40
